qty,description,mpn,seller's code,link
1,dual lock tape 10cm,,,https://www.amazon.co.uk/3M-DE272958773-Dual-Lock-High-Tech/dp/B008M6AYJQ
1, Stepper Motor Driver ,A4988,,https://www.amazon.co.uk/AZDelivery-Stepper-Headers-Heatsink-including/dp/B083V59HTB
1,epoxy,,,https://www.amazon.co.uk/Gorilla-Glue-25ml-Epoxy/dp/B009NQQJFC
1,stainless steel straw,,,https://www.amazon.co.uk/Mellbree-Stainless-Perfect-Cocktails-Glasses/dp/B0CRT3M673
4,ball bearing  MR84ZZ (3 X 8 X 4 mm),MR84ZZ,,https://www.amazon.co.uk/sourcing-map-Bearings-Miniature-Precision/dp/B0CM6RTH4F
2,16G needles,,,https://www.amazon.co.uk/sourcing-map-Industrial-Dispensing-Transparent/dp/B0B51R7Q7B
1,"nema 17 stepper motor (2A, 4 lead)",17HS19-2004S1,,https://www.amazon.co.uk/STEPPERONLINE-Stepper-0-9deg-Stepping-Printer/dp/B00W9A2L3S
1,masterflex microbore pump tubing  platinum cured silicone 1.42mm ID 3.12 OD 16cm,,,https://www.amazon.co.uk/TOP-VIGOR-Silicon-16-40ft-Silicone-Transfer/dp/B0BZH2CC4Q
4,M3 screw 25mm (hex socket),29318,36-29318-ND,https://www.digikey.co.uk/en/products/detail/apm-hexseal/RM3X10MM-2701/3712296
1,barrel jack,PJ-002A,CP-002A-ND,https://www.digikey.co.uk/en/products/detail/cui-devices/PJ-002A/96962
1,3D printer filament (PLA),PLA+175B1,4370-PLA+175B1-ND,https://www.digikey.co.uk/en/products/detail/esun/PLA-175B1/16583783
5,JST XH crimpped cables,ASXHSXH22K305,455-3241-ND,https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/ASXHSXH22K305/6684932
2,5 Pin header JST XH,B5B-XH-A,455-B5B-XH-A-ND,https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/B5B-XH-A/1530483
2,5 Pin cable connector JST XH,XHP-5,455-2268-ND,https://www.digikey.co.uk/en/products/detail/jst-sales-america-inc/XHP-5/1125486
7,M3 screw 10mm (hex socket),RM3X10MM 2701,335-1148-ND,https://www.digikey.co.uk/en/products/detail/keystone-electronics/29318/1532211
3,M3 nut,4708,36-4708-ND,https://www.digikey.co.uk/en/products/detail/keystone-electronics/4708/4499301
8,M3 screw 5mm (hex socket),48-320,1674-48-320-ND,https://www.digikey.co.uk/en/products/detail/knowles-voltronics/48-320/18680040
1,power supply cable (UK),AC30UUK,993-1040-ND,https://www.digikey.co.uk/en/products/detail/phihong-usa/AC30UUK/2384477
1,power supply 12V 3A,PPL36U-120L6,993-1445-ND,https://www.digikey.co.uk/en/products/detail/phihong-usa/PPL36U-120L6/10324889
1,1000uF Capacitor (through hole) ,16ZLH1000MEFC8X20,1189-1873-ND,https://www.digikey.co.uk/en/products/detail/rubycon/16ZLH1000MEFC8X20/3563477
1,micro sd card 32gb,112990066,1597-112990066-ND,https://www.digikey.co.uk/en/products/detail/seeed-technology-co-ltd/112990066/10290294
1,redboard qwiic,DEV-15123,1568-1977-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/DEV-15123/9856839
1,QWIIC OPENLOG,DEV-15164,1568-DEV-15164-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/DEV-15164/9920435
1,SPARKFUN QWIIC OLED DISPLAY (0.9,LCD-17153,1568-LCD-17153-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/LCD-17153/13419017
1,22 AWG wire (solid),PRT-08022,1568-1569-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/PRT-08022/6833928
1,qwiic cable kit,KIT-15081 ,1568-1961-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/KIT-15081/9770723
1,RFID READER ID-12LA (125 KHZ),SEN-11827,SEN-11827-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/SEN-11827/7364971
1,SPARKFUN RFID READER BREAKOUT,SEN-13030,SEN-13030-ND,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/SEN-13030/7364974
1,1M Ohm resistor (through hole,RNV14FAL1M00,RNV14FAL1M00CT-ND,https://www.digikey.co.uk/en/products/detail/stackpole-electronics-inc/RNV14FAL1M00/2665258
2,2.54mm header male pins (21 pins),PEC21SFAN,S1212E-21-ND,https://www.digikey.co.uk/en/products/detail/sullins-connector-solutions/PEC21SFAN/859462
1,mini 4 pin push button,1825910-6,450-1650-ND,https://www.digikey.co.uk/en/products/detail/te-connectivity-alcoswitch-switches/1825910-6/1632536
1,rfid chip injector,,,
1,rfid glass capsule (125kHz),,,
